,zip,name,school-summary,type,level-codes,level,street,city,state,phone,county,lat,lon,district-name,district-id,rating,lat_lon,new rating
326,30288,ACT,"ACT, a private school located in Conley, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",PO BOX 503,Conley,GA,(404) 549-2327,DEKALB,33.661015,-84.327911,,0.0,,"(33.661015, -84.327911)",
327,30288,Camp Jewell House Academy,"Camp Jewell House Academy, a private school located in Conley, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",PO BOX 503,Conley,GA,(678) 418-7703,DEKALB,33.661015,-84.327911,,0.0,,"(33.661015, -84.327911)",
329,30319,Marist School,"Marist School, a private school located in Atlanta, GA, serves grades 7-12 in the .",private,"m,h","7,8,9,10,11,12",3790 Ashford Dunwoody Road Northeast,Atlanta,GA,(770) 457-4201,Dekalb County,33.901443,-84.335144,,0.0,,"(33.901443, -84.335144)",
334,30319,Cross Keys High School,"Cross Keys High School, a public school located in Brookhaven, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",1626 N Druid Hills Rd NE,Brookhaven,GA,(678) 874-6102,DeKalb County,33.843887,-84.337982,Dekalb County School District,55.0,5,"(33.843887, -84.337982)",
340,30319,The Piedmont School of Atlanta,"The Piedmont School of Atlanta, a private school located in Brookhaven, GA, serves grades K-10 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10",4484 Peachtree Road Northeast,Brookhaven,GA,(404) 382-8200,Dekalb County,33.875816,-84.3349,,0.0,,"(33.875816, -84.3349)",
342,30337,Mcclarin Alternative School,"Mcclarin Alternative School, a public school located in College Park, GA, serves grades 10-12 in the Fulton County School District.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,h,"10,11,12",3605 Main St,College Park,GA,(470) 254-8080,Fulton County,33.656731,-84.450516,Fulton County School District,73.0,2,"(33.656731, -84.450516)",
343,30337,Woodward Academy,"Woodward Academy, a private school located in College Park, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",1662 West Rugby Avenue,College Park,GA,(404) 765-4011,Fulton County,33.662815,-84.441978,,0.0,,"(33.662815, -84.441978)",
346,30337,Bridge Academy,"Bridge Academy, a private school located in College Park, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",3707 Main Street,College Park,GA,(770) 961-5421,Fulton County,33.654034,-84.449631,,0.0,,"(33.654034, -84.449631)",
353,30034,Greenforest Mccalep Christian Academy,"Greenforest Mccalep Christian Academy, a private school located in Decatur, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",3250 Rainbow Drive,Decatur,GA,(404) 486-6737,Dekalb County,33.714642,-84.257759,,0.0,,"(33.714642, -84.257759)",
365,30034,Southwest Dekalb High School,"Southwest Dekalb High School, a public school located in Decatur, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",2863 Kelley Chapel Road,Decatur,GA,(678) 874-1902,Dekalb County,33.70158,-84.225906,Dekalb County School District,55.0,4,"(33.70158, -84.225906)",
369,30345,St Pius X Catholic High School,"St Pius X Catholic High School, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",2674 Johnson Road Northeast,Atlanta,GA,(404) 636-3023,Dekalb County,33.864414,-84.291489,,0.0,,"(33.864414, -84.291489)",
370,30345,Lullwater School,"Lullwater School, a private school located in Atlanta, GA, serves grades Ungraded in the .",private,"e,m,h",UG,4105 Briarcliff Road NE,Atlanta,GA,(404) 315-0305,Dekalb,33.855083,-84.279945,,0.0,,"(33.855083, -84.279945)",
374,30345,Lakeside High School,"Lakeside High School, a public school located in Atlanta, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",3801 Briarcliff Road Northeast,Atlanta,GA,(678) 874-6702,Dekalb County,33.844547,-84.284828,Dekalb County School District,55.0,5,"(33.844547, -84.284828)",
377,30345,Abm Vietnamese School,"Abm Vietnamese School, a private school located in Atlanta, GA, serves grades 6-12 in the .",private,"m,h","6,7,8,9,10,11,12",4300 BUFORD HWY NE STE 104,Atlanta,GA,(404) 254-3907,DEKALB,33.848419,-84.285812,,0.0,,"(33.848419, -84.285812)",
382,30342,Yeshiva Atlanta High School,"Yeshiva Atlanta High School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",5200 Northland Drive,Atlanta,GA,(770) 451-5299,Fulton County,33.895885,-84.366486,,0.0,,"(33.895885, -84.366486)",
383,30342,The Galloway School,"The Galloway School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",215 Chastain Park Avenue Northwest,Atlanta,GA,(404) 252-8389,Fulton County,33.875198,-84.393661,,0.0,,"(33.875198, -84.393661)",
385,30342,North Metro Psychoeducational Program,"North Metro Psychoeducational Program, a public school located in Atlanta, GA, serves grades Ungraded in the Atlanta Public Schools.",public,"e,m,h",UG,"4191 Northside Drive, N. W.",Atlanta,GA,(404) 233-7828,Fulton,33.869801,-84.407204,Atlanta Public Schools,4.0,,"(33.869801, -84.407204)",
0,,,,,,,,,,,,,,,,,,n/a
4,,,,,,,,,,,,,,,,,,n/a
7,,,,,,,,,,,,,,,,,,B-
8,,,,,,,,,,,,,,,,,,C+
9,,,,,,,,,,,,,,,,,,B-
10,,,,,,,,,,,,,,,,,,C+
11,,,,,,,,,,,,,,,,,,n/a
12,,,,,,,,,,,,,,,,,,n/a
15,,,,,,,,,,,,,,,,,,n/a
16,,,,,,,,,,,,,,,,,,A+
17,,,,,,,,,,,,,,,,,,A+
18,,,,,,,,,,,,,,,,,,n/a
19,,,,,,,,,,,,,,,,,,A-
21,,,,,,,,,,,,,,,,,,n/a
22,,,,,,,,,,,,,,,,,,C+
23,,,,,,,,,,,,,,,,,,n/a
25,,,,,,,,,,,,,,,,,,n/a
27,,,,,,,,,,,,,,,,,,n/a
28,,,,,,,,,,,,,,,,,,n/a
29,,,,,,,,,,,,,,,,,,n/a
31,,,,,,,,,,,,,,,,,,C-
32,,,,,,,,,,,,,,,,,,B-
33,,,,,,,,,,,,,,,,,,B-
35,,,,,,,,,,,,,,,,,,D+
36,,,,,,,,,,,,,,,,,,C+
37,,,,,,,,,,,,,,,,,,C-
38,,,,,,,,,,,,,,,,,,A-
39,,,,,,,,,,,,,,,,,,n/a
40,,,,,,,,,,,,,,,,,,n/a
41,,,,,,,,,,,,,,,,,,A+
42,,,,,,,,,,,,,,,,,,C-
44,,,,,,,,,,,,,,,,,,C-
45,,,,,,,,,,,,,,,,,,n/a
46,,,,,,,,,,,,,,,,,,C
48,,,,,,,,,,,,,,,,,,n/a
49,,,,,,,,,,,,,,,,,,A+
52,,,,,,,,,,,,,,,,,,n/a
53,,,,,,,,,,,,,,,,,,A+
54,,,,,,,,,,,,,,,,,,n/a
55,,,,,,,,,,,,,,,,,,C-
57,,,,,,,,,,,,,,,,,,A-
58,,,,,,,,,,,,,,,,,,n/a
61,,,,,,,,,,,,,,,,,,n/a
63,,,,,,,,,,,,,,,,,,B+
65,,,,,,,,,,,,,,,,,,n/a
66,,,,,,,,,,,,,,,,,,C-
67,,,,,,,,,,,,,,,,,,n/a
68,,,,,,,,,,,,,,,,,,n/a
69,,,,,,,,,,,,,,,,,,A+
71,,,,,,,,,,,,,,,,,,A+
74,,,,,,,,,,,,,,,,,,A+
75,,,,,,,,,,,,,,,,,,A+
76,,,,,,,,,,,,,,,,,,A+
77,,,,,,,,,,,,,,,,,,A+
78,,,,,,,,,,,,,,,,,,n/a
79,,,,,,,,,,,,,,,,,,C-
80,,,,,,,,,,,,,,,,,,B+
81,,,,,,,,,,,,,,,,,,B+
82,,,,,,,,,,,,,,,,,,n/a
83,,,,,,,,,,,,,,,,,,n/a
85,,,,,,,,,,,,,,,,,,C+
86,,,,,,,,,,,,,,,,,,n/a
88,,,,,,,,,,,,,,,,,,A+
90,,,,,,,,,,,,,,,,,,B
91,,,,,,,,,,,,,,,,,,C
94,,,,,,,,,,,,,,,,,,A-
95,,,,,,,,,,,,,,,,,,n/a
97,,,,,,,,,,,,,,,,,,A+
